Location Year  Month   Value
ASC 1996  4   358.80
ASC 1996  5   360.16
ASC 1996  6   361.30
ASC 1996  7   361.49
ASC 1996  8   361.43
ASC 1996  9   361.55
ASC 1996 10   361.61
ASC 1996 11   361.69
ASC 1996 12   361.79
ASC 1997  1   361.61
ASC 1997  2   361.18
ASC 1997  3   361.14
ASC 1997  4   361.15
ASC 1997  5   361.29
ASC 1997  6   362.42
ASC 1997  7   363.19
ASC 1997  8   363.04
ASC 1997  9   363.01
ASC 1997 10   363.85
ASC 1997 11   364.15
ASC 1997 12   363.68
ASC 1998  1   363.38
ASC 1998  2   363.48
ASC 1998  3   363.44
ASC 1998  4   363.57
ASC 1998  5   364.97
ASC 1998  6   366.37
ASC 1998  7   366.11
ASC 1998  8   366.16
ASC 1998  9   366.54
ASC 1998 10   366.38
ASC 1998 11   366.45
ASC 1998 12   366.19
ASC 1999  1   365.64
ASC 1999  2   365.30
ASC 1999  3   364.98
ASC 1999  4   365.00
ASC 1999  5   365.87
ASC 1999  6   366.80
ASC 1999  7   367.49
ASC 1999  8   367.72
ASC 1999  9   367.55
ASC 1999 10   367.62
ASC 1999 11   367.78
ASC 1999 12   367.74
ASC 2000  1   367.51
ASC 2000  2   367.26
ASC 2000  3   366.55
ASC 2000  4   366.23
ASC 2000  5   367.49
ASC 2000  6   368.56
ASC 2000  7   368.94
ASC 2000  8   368.79
ASC 2000  9   368.53
ASC 2000 10   368.92
ASC 2000 11   368.90
ASC 2000 12   368.46
ASC 2001  1   368.25
ASC 2001  2   368.47
ASC 2001  3   368.59
ASC 2001  4   368.65
ASC 2001  5   369.40
ASC 2001  9   370.60
ASC 2001 10   371.01
ASC 2001 11   370.86
ASC 2001 12   370.40
ASC 2002  1   370.42
ASC 2002  2   370.51
ASC 2002  3   369.97
ASC 2002  4   370.32
ASC 2002  5   371.54
ASC 2002  6   372.15
ASC 2002  7   372.73
ASC 2002  8   373.00
ASC 2002  9   372.98
ASC 2002 10   373.10
ASC 2002 11   373.19
ASC 2002 12   373.28
ASC 2003  1   373.30
ASC 2003  2   373.11
ASC 2003  3   373.17
ASC 2003  4   373.58
ASC 2003  5   373.99
ASC 2003  6   374.85
ASC 2003  7   375.33
ASC 2003  8   375.08
ASC 2003  9   375.02
ASC 2003 10   375.30
ASC 2003 11   375.41
ASC 2003 12   375.19
ASC 2004  1   375.00
ASC 2004  2   375.27
ASC 2004  3   375.31
ASC 2004  4   374.88
ASC 2004  5   375.42
ASC 2004  6   376.59
ASC 2004  7   377.02
ASC 2004  8   376.88
ASC 2004  9   376.72
ASC 2004 10   376.71
ASC 2004 11   377.16
ASC 2004 12   377.10
ASC 2005  1   376.53
ASC 2005  2   376.50
ASC 2005  3   377.08
ASC 2005  4   377.32
ASC 2005  5   377.44
ASC 2005  6   378.70
ASC 2005  7   379.62
ASC 2005  8   379.19
ASC 2005  9   378.85
ASC 2005 10   379.24
ASC 2005 11   379.68
ASC 2005 12   379.60
ASC 2006  1   379.48
ASC 2006  2   379.52
ASC 2006  3   379.19
ASC 2006  4   378.88
ASC 2006  5   379.24
ASC 2006  6   379.96
ASC 2006  7   380.36
ASC 2006  8   380.88
ASC 2006  9   381.24
ASC 2006 10   381.25
ASC 2006 11   380.99
ASC 2006 12   380.61
ASC 2007  1   380.49
ASC 2007  2   380.67
ASC 2007  3   380.55
ASC 2007  4   380.58
ASC 2007  5   381.35
ASC 2007  6   382.24
ASC 2007  7   382.91
ASC 2007  8   383.35
ASC 2007  9   383.59
ASC 2007 10   383.65
ASC 2007 11   383.74
ASC 2007 12   383.47
ASC 2008  1   383.04
ASC 2008  2   382.49
ASC 2008  3   382.05
ASC 2008  4   381.69
ASC 2008  5   382.32
ASC 2008  6   383.89
ASC 2008  7   384.79
ASC 2008  8   385.04
ASC 2008  9   385.04
ASC 2008 10   384.83
ASC 2008 11   384.86
ASC 2008 12   385.15
ASC 2009  1   385.02
ASC 2009  2   384.51
ASC 2009  3   383.77
ASC 2009  4   383.37
ASC 2009  5   384.47
ASC 2009  6   386.01
ASC 2009  7   386.72
ASC 2009  8   387.24
ASC 2009  9   387.57
ASC 2009 10   387.37
ASC 2009 11   386.75
ASC 2009 12   386.39
ASC 2010  1   386.48
ASC 2010  2   386.83
ASC 2010  3   386.86
ASC 2010  4   386.43
ASC 2010  5   386.89
ASC 2010  6   387.98
ASC 2010  7   388.46
ASC 2010  8   388.78
ASC 2010  9   388.80
ASC 2010 10   388.75
ASC 2010 11   389.01
ASC 2010 12   389.00
ASC 2011  1   387.87
ASC 2011  2   387.14
ASC 2011  3   387.66
ASC 2011  4   388.28
ASC 2011  5   388.95
ASC 2011  6   389.62
ASC 2011  7   390.37
ASC 2011  8   390.86
ASC 2011  9   390.69
ASC 2011 10   390.48
ASC 2011 11   390.27
ASC 2011 12   390.18
ASC 2012  1   390.37
ASC 2012  2   390.27
ASC 2012  3   390.27
ASC 2012  4   391.06
ASC 2012  5   391.40
ASC 2012  6   391.80
ASC 2012  7   392.43
ASC 2012  8   392.09
ASC 2012  9   392.03
ASC 2012 10   392.54
ASC 2012 11   393.05
ASC 2012 12   393.13
ASC 2013  1   392.68
ASC 2013  2   392.56
ASC 2013  3   393.05
ASC 2013  4   393.50
ASC 2013  5   393.81
ASC 2013  6   394.72
ASC 2013  7   395.61
ASC 2013  8   395.48
ASC 2013  9   395.18
ASC 2013 10   395.41
ASC 2013 11   395.56
ASC 2013 12   395.63
ASC 2014  1   395.32
ASC 2014  2   395.28
ASC 2014  3   395.00
ASC 2014  4   394.37
ASC 2014  5   395.11
ASC 2014  6   396.20
ASC 2014  7   396.69
ASC 2014  8   397.35
ASC 2014  9   397.50
ASC 2014 10   397.00
ASC 2014 11   397.17
ASC 2014 12   397.39
ASC 2015  1   397.15
ASC 2015  2   397.01
ASC 2015  3   397.37
ASC 2015  4   397.46
ASC 2015  5   397.48
ASC 2015  6   398.59
ASC 2015  7   399.17
ASC 2015  8   399.27
ASC 2015  9   399.64
ASC 2015 10   399.95
ASC 2015 11   400.38
ASC 2015 12   400.60
ASC 2016  1   400.82
ASC 2016  2   401.42
ASC 2016  3   401.59
ASC 2016  4   401.45
ASC 2016  5   401.89
ASC 2016  6   402.83
ASC 2016  7   403.56
ASC 2016  8   403.39
ASC 2016  9   402.90
ASC 2016 10   403.14
ASC 2016 11   403.23
ASC 2016 12   403.07
ASC 2017  1   402.93
ASC 2017  2   402.53
ASC 2017  3   402.18
ASC 2017  4   402.57
ASC 2017  5   403.53
ASC 2017  6   404.25
ASC 2017  7   404.90
ASC 2017  8   405.12
ASC 2017  9   404.47
ASC 2017 10   404.66
ASC 2017 11   405.32
ASC 2017 12   405.09
ASC 2018  1   405.01
ASC 2018  2   405.72
ASC 2018  3   406.04
ASC 2018  4   405.29
ASC 2018  5   405.27
ASC 2018  6   406.33
ASC 2018  7   406.99
ASC 2018  8   406.77
ASC 2018  9   406.99
ASC 2018 10   407.79
ASC 2018 11   407.94
ASC 2018 12   407.57
ASC 2019  1   407.41
ASC 2019  2   407.48
ASC 2019  3   407.76
ASC 2019  4   407.85
ASC 2019  5   408.25
ASC 2019  6   409.50
ASC 2019  7   410.65
ASC 2019  8   410.64
ASC 2019  9   410.22
ASC 2019 10   410.64
ASC 2019 11   410.82
ASC 2019 12   410.27
ASC 2020  1   410.15
ASC 2020  2   410.53
ASC 2020  3   410.79
ASC 2020  4   410.67
ASC 2020  5   410.81
ASC 2020  6   411.72
ASC 2020  7   412.58
ASC 2020  8   412.53
ASC 2020  9   412.37
ASC 2020 10   412.60
ASC 2020 11   412.80
ASC 2020 12   412.64
ASC 2021  1   412.28
ASC 2021  2   412.25
ASC 2021  3   412.14
ASC 2021  4   411.75
ASC 2021  5   412.52
ASC 2021  6   413.76
ASC 2021  7   414.53
ASC 2021  8   414.53
ASC 2021  9   414.50
ASC 2021 10   414.73
ASC 2021 11   414.93
ASC 2021 12   414.92
ASC 2022  1   414.80
ASC 2022  2   414.68
ASC 2022  3   414.92
ASC 2022  4   414.97
ASC 2022  5   414.82
ASC 2022  6   415.68
ASC 2022  7   416.47
ASC 2022  8   416.95
ASC 2022  9   416.93
ASC 2022 10   416.77
